5 21
a3 c2 e1 c2 a3 c2 a1 b3 d2 b1 a3 b5 d4 c2 a3 c4 e3 d5 b4 a2 b4 c2 b4 d5 b4
a2 c1 e2 c3 e4 c5 d3 c1 b3 c5 b3 c5 b3 c1 b3 c1 d3 c1 b3 a5 b3 d4 e2 c1 d3
e5 d3 e1 c2 a1 b3 a5 c4 a3 b5 d4 e2 c1 a2 b4 d5 e3 d1 b2 a4 c5 e4 c3 b1 d2
e2 d4 c2 d4 b5 a3 b1 a3 b5 d4 b5 d4 e2 c1 e2 c1 e2 c1 b3 a1 c2 b4 c2 a1 b3
c2 a1 b3 c5 d3 c5 d3 c1 d3 c1 b3 d4 e2 d4 b5 c3 d5 c3 e4 d2 c4 a5 c4 b2 d1
e5 d3 e1 e4 a1 b3 a5 c4 a3 b5 d4 e2 c1 a2 b4 d5 e3 d1 b2 a4 c5 c2 c3 b1 d2
e5 d3 e1 c2 a1 b3 a5 c4 a3 b5 d4 e2 c1 a2 b4 d5 e3 d1 b2 a4 c5 e4 c3 b1 d2
e2 c3 d1 e3 d5 c3 d5 e3 c4 e5 c4 a3 b1 a3 b5 a3 c2 d4 b5 c3 a2 c3 e2 c3 a4
d2 b1 a3 b5 c3 e4 c3 b5 c3 a2 b4 a2 c1 d3 b4 c2 b4 d3 e1 d3 c5 b3 c1 e2 c1
c1 b3 c5 d3 e5 c4 b2 d3 b2 c4 a5 b3 a1 b3 a5 b3 c5 e4 d2 c4 d2 b3 a5 c4 e5
d5 c3 d5 b4 d3 e1 d3 e5 d3 c5 b3 d4 b3 a5 b3 d4 b3 a5 b3 a5 b3 a1 c2 a1 c2
d1 e3 d1 e3 d1 e3 d5 e3 d1 b2 d3 e1 d3 c5 b3 a5 b3 d2 b1 c3 b1 c3 d5 b4 c2
e5 d3 e1 c2 a1 b3 a5 c4 a3 b5 d4 e2 c1 a2 b4 d5 e3 d1 b2 a4 c3 e4 c5 b1 d2
e5 d3 e1 c2 a1 b3 a5 c4 a3 b5 d4 e2 c1 a2 b4 d5 e3 d1 b2 a4 c5 e4 c3 b1 d2
b4 d3 e1 c2 a1 b3 a5 c4 a3 b5 d4 e2 c1 a2 e5 d5 e3 d1 b2 a4 c5 e4 c3 b1 d2
b3 a1 c2 a1 c2 e1 d3 c1 e2 c1 b3 c5 a4 b2 d3 b4 c2 a1 b3 a1 b3 c1 e2 c1 e2
e5 d3 e1 c2 a1 b3 a5 c4 a3 b5 d4 e2 c1 a2 b4 d5 e3 d1 b2 a4 c5 e4 c3 b1 d2
b4 c2 a1 c2 e1 c2 b4 d3 c5 d3 c1 a2 c1 e2 c1 e2 c3 e2 c3 b5 a3 b5 a3 c2 e1
e5 d3 c1 a2 c3 e4 c5 d3 e5 d3 b4 a2 c1 d3 c5 e4 c3 a2 c3 e2 c3 a4 b2 d3 b4
e5 d3 e1 c2 a1 b3 a5 c5 a3 b5 d4 e2 c1 a2 b4 d5 e3 d1 b2 a4 c4 e4 c3 b1 d2
b2 c4 a3 b5 c3 d1 b2 c4 a3 c4 a5 b3 a1 b3 c1 a2 c1 d3 b4 d5 b4 a2 c3 b1 a3
