0FKDaOTRNi0ts2dpF5_xXGyfcj5WHyzbqkKznUJH3FvaXg3xgESn8VA2rFJSIhlqP starost
A1B9rKcQXigcgb1_02R1lZHbI9JryfQwE4NUTvEK 97
jtq_YMp9HdzfEk31TaIzngbNz8IPBBtW2TscnWwaHfwUaflmiu6bmM7VWh59HXvvO9H_PKVeWeYo744pv8dbOobnwmhFm 118
5o9OyTT7WEpzaogcHcUCbRwCncTr08TDSObyb0vEovIa4v7JubV3dHB2DWEbQQNNc6g7nh5HaG5 2
JxeUkgR5mfoVX07EPMkT9J1ODoCT1tVAGgU089TZAv 32
6b7m0x8w1RYg42czbAiIDF6CVURoTXL2qqMFX 61
Whdw0rRnPxc7xrM7aHoptzVT4ACrKJO7A84 111
pYpGZ07mJjupImKI 1
UiTqU3 73
IFHJw3Hm4cXuhbAc5fU1DJMprY1UPLUvoPoGOMyP 64
WqfL3EGSf866EB1tcHXtdDHPnEIbs00MQyxYT_SIDHMRx2KxC_c 43
ODDEuoYWgGTTNfDV9YhTj0iGZU8CTC6GPRFcixtbnXZpZSwRN4Fwv 0
D996JBTtsV4Q2_Mc1unpjl4P5lX426sD71mnpxhhTqjnWGEEgdB6DBavaILVlXqXbVPQHqvy0uiK4_Fzn_QXYHY 100
gTQv_kensS1CzO_VN0rYRWRaHeSg_m_TX5L70ML5N4k6DztQIEuBaf_N9kUM3V0eFt_isiZHZvV 59
TULX1dRbNl351P5iQVuBVnbXcJJTVcvPITH06rUznOTYiD 57
OSe2DjLkFnRQ4oWE2sM7YzXSHfzA4e0D8bm9wVwIfKk 99
8nCajxrIhHrHfZO1kA0d 34
3yXldXm_0Z6oP0MXvdFN4SGDIb62nealYprNmxlUSwWQ1OPB3YGGH2otVZzbsj9prgA 13
OCtVfN4uUVuyJoXygDLkbFbHVf9DFdmLXHpUZgw7Bq 101
4A4 100
yXty 118
JwESNBvGwtjl8e_faBXDy_2OhuyM32z8RgG4MdkHN 120
ylRMir8xJSUaUdaMdKCGCQRwRAvpWDcAZz_a_Ae2Hb_GNyB0JDLrkd2SJeWXTdTd8dfJQTpr 99
r2JXvSKHiisXqvlm3mk3sFKP4JW1o72YEIXSv 88
WMh3muLfdbA1v1bb5tLlhFCHn4eA 92
gZkTMM2KnIP7HeBovmAlP685PxUgIHgqF6x88hPlDNgpe3Ort7HSD5NFyxHt7uVLOw 36
UeM5MKbJ5d0XDUwbwp0crZn4zbF8EIITb 99
