9 60
d6 e8 g9 f7 d8 b7 a5 c6 b8 a6 c7 a8 c9 d7 f6 e4 c5 a4 b6 a8 c9 b7 d8 b9 a7 c8 d6 e8 c9 e8 f6 d5 c3 b5 c7 a6 b8 a6 b4 a2 b4 a6 c5 d7 f6 h5 i3 h1 g3 e4 f2 d1 f2 d3 b4 c2 a3 b5 c3 a2 c1 b3 d4 f3 h2 f3 h4 f3 g1 h3 g5 f3 h4 f3 d2 f1 d2 c4 d2 e4 f6
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 f7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 f7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
i6 g5 e6 g7 e6 f8 g6 e5 d3 f2 e4 d2 c4 a5 b3 a5 c6 b8 d9 b8 c6 b4 d5 c3 a2 c3 d5 e3 f5 e7 c8 d6 b5 c7 b5 c3 e2 d4 b3 c1 d3 f4 g2 i1 g2 e1 d3 c5 e6 f4 g6 i5 h3 f4 e6 d8 f9 e7 c8 e9 d7 b8 d9 e7 d5 e7 c8 e7 g8 f6 e8 g9 h7 g9 h7 f8 e6 c7 b5 a3 c4
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 c4 a5 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 f7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
f4 h3 g1 i2 g1 f3 g1 i2 h4 f3 h4 g6 f4 g6 f4 h3 f2 e4 d6 b7 c9 d7 b6 c8 a7 c6 b4 c6 b8 a6 c5 d7 b8 c6 d4 b5 a3 b1 c3 e4 d2 f1 h2 f3 d4 e6 g7 i6 g7 h9 i7 h9 f8 e6 f8 d7 c9 e8 c7 a6 c7 b5 d4 e6 d4 c6 b8 d9 e7 f5 e3 f1 h2 i4 g3 i4 g5 f7 g9 e8 g7
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 f7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
b4 a6 b8 c6 a5 c4 b2 a4 b6 a4 c3 b1 c3 e2 c1 d3 c1 e2 c3 e2 d4 e6 g7 h5 i7 g6 e7 f5 g7 h9 i7 h5 g3 f1 e3 g2 i3 h1 i3 g4 i5 g4 i3 h1 g3 f1 e3 f1 e3 d5 b4 a2 c3 e2 c1 d3 b4 c6 a7 c8 a7 b5 a7 c8 b6 d5 b6 d7 f6 d5 c3 e4 d2 b1 a3 b1 d2 b1 a3 b5 d6
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 d7 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 b2 e5 f7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 f7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
h2 i4 g3 e4 c5 b3 d4 c2 e3 c2 e3 g4 i3 g2 e1 c2 a1 b3 c1 b3 c1 e2 c1 e2 f4 h3 f2 g4 e5 c6 b8 a6 c5 e4 g5 e4 d2 c4 b6 d7 f8 d9 e7 g6 i7 g6 f8 h9 f8 e6 g7 h5 g3 e2 c1 d3 e1 d3 b4 a2 c1 d3 c5 b3 d2 e4 c5 e6 d4 b5 a3 c4 e3 d5 e7 c8 e9 g8 h6 f7 e5
f7 d8 b9 c7 d9 b8 d7 e5 g4 f2 h1 f2 h1 f2 h1 f2 e4 c5 b3 c5 b3 a5 c6 a7 c6 b4 c2 a3 c4 e3 c2 e1 f3 g5 h3 g5 f7 e5 g6 e7 g6 i7 h9 g7 h9 g7 f5 e3 g2 f4 g2 i3 h1 f2 e4 c5 b3 a5 b3 c1 e2 d4 c6 e7 g6 f4 g6 f8 h9 g7 i6 g5 h7 i9 h7 i5 h3 f2 e4 f6 g4
e7 f9 d8 f9 e7 d9 e7 g6 e5 f3 d2 b3 d2 b3 c1 b3 d4 f3 d4 e2 d4 e2 c3 a2 b4 a6 b4 c2 b4 d3 c5 d7 f6 g8 e9 d7 f6 h7 g9 f7 e9 c8 b6 c8 b6 d7 b8 d9 b8 d9 b8 c6 d4 e6 d8 b9 c7 a8 c7 e8 f6 d7 c5 e4 c3 b1 d2 f3 h4 g6 h4 i2 g3 h5 g7 h9 f8 g6 e5 d7 c9
h4 i2 g1 e2 c1 a2 b4 f7 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 a6 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 f7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 a7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
h4 i2 g1 e2 c1 a2 b4 a6 b8 d9 f8 h9 i7 g8 i9 h7 g9 i8 h6 i4 h2 f1 g3 h1 i3 h5 f6 e8 c9 a8 c7 b9 a7 b5 a3 b1 c3 d1 b2 a4 b6 d5 e3 c2 a1 b3 a5 c4 d2 f3 e1 g2 i1 h3 i5 g4 f2 d3 f4 g6 h8 i6 g5 e4 c5 d7 e5 f7 e9 c8 a9 b7 d6 f5 d4 e6 g7 f9 d8 c6 e7
f7 e5 d3 c1 e2 d4 e2 c1 e2 d4 f5 e7 f5 d6 b7 a9 c8 e9 c8 e9 f7 e5 f3 h2 g4 e5 f7 h8 i6 g7 h9 g7 f9 d8 f9 h8 f9 e7 d5 f4 h5 i3 g2 e3 f5 e7 f9 d8 f9 h8 i6 h4 g6 h4 f3 d2 c4 d6 c8 d6 e8 f6 e8 d6 e8 c9 e8 g7 e8 f6 g4 i3 h5 g7 f9 e7 g8 e7 d9 f8 d9
